SiteID,Description,Easting,Northing,RiverID,River
7005,SHERMANS BRIDGE ,553200,105100,43,CUCKMERE
7006,BARCOMBE MILLS ,543300,114800,124,OUSE
7007,HARDHAM GAUGING STATION ,503400,117800,133,ROTHER
7008,PALLINGHAM GAUGING STATION ,503300,119800,12,ARUN
7009,LONGBRIDGE ,435500,117900,158,TEST
7010,THE WHITE SWAN ,444900,115600,87,ITCHEN
7011,"NUTSEY BRIDGE, TESTWOOD ",435200,115100,21,BLACKWATER
7012,TESTWOOD ,435300,115300,158,TEST
7013,GATERSMILL ,443400,115600,87,ITCHEN
8001,GREAT SOMERFORDS ,397500,182900,13,AVON
8002,TELLISFORD ,380500,156500,137,SOMERSET FROME
8003,MIDFORD ,376400,161100,109,MIDFORD BROOK
8004,KEYNSHAM ,366200,168900,13,AVON
8100,KNAPP MILL PIPE BRIDGE ,415400,94000,13,AVON
8200,THROOP ,411200,95800,143,STOUR
8201,IFORD BRIDGE ,413700,93700,143,STOUR
8300,BAGGS MILL BRIDGE ,391300,87600,126,PIDDLE
8326,KNAPP BRIDGE ,330200,126000,163,TONE
8400,HOLME BRIDGE ,389100,86600,76,FROME
8426,LANGPORT (WESTOVER) ,341600,126600,125,PARRETT
9001,WHITFORD ROAD BRIDGE ,326200,95300,14,AXE
9002,DOTTON FOOTBRIDGE ,308700,88500,122,OTTER
9003,TREWS WEIR ,292500,91500,70,EXE
9004,STOKE CANON ,293900,97600,44,CULM
9005,PIXTON ,293500,126000,70,EXE
9006,BRUSHFORD ,292700,125800,16,BARLE
9007,OAKFORD FARM ,290100,96800,42,CREEDY
9008,PRESTON FOOTBRIDGE ,285500,74500,154,TEIGN
9009,CLIFFORD ,278400,89200,154,TEIGN
9010,TWINYEO FARM ,284500,76100,23,BOVEY
9011,TOTNES WEIR ,280000,61400,45,DART
9012,HUCCABY ,266200,73000,180,WEST DART
9013,HATCH ,271400,47300,13,AVON
9014,PLYMBRIDGE ,252400,58700,127,PLYM
9015,DENHAM BRIDGE ,247700,67800,148,TAVY
9016,GRENOFEN BRIDGE ,249000,71000,172,WALKHAM
9017,GUNNISLAKE NEWBRIDGE ,243300,72200,146,TAMAR
9018,LIFTON BRIDGE ,238900,84800,101,LYD
9019,TINHAY ,239500,85500,161,THRUSHEL
9020,BOYTON BRIDGE ,232800,92300,146,TAMAR
9021,WERRINGTON PARK ,234400,86800,123,OTTERY
9022,INNY FOOT ,237900,77900,84,INNY
9023,NOTTER BRIDGE ,238500,60900,103,LYNHER
9024,RESPRYN BRIDGE ,209900,63500,75,FOWEY
9025,TREGONY GAUGING STATION ,192100,44500,72,FAL
9026,DEVORAN BRIDGE ,179100,39400,30,CARNON
9027,POLBROCK BRIDGE ,201400,69500,28,CAMEL
9028,BEAM FOOTBRIDGE ,247400,120900,164,TORRIDGE
9029,SHEEPWASH ,249100,105700,164,TORRIDGE
9030,CHAPELTON ,258200,126100,149,TAW
9031,TAW BRIDGE ,267300,106500,149,TAW
9032,DART BRIDGE ,266900,113700,93,LITTLE DART
9033,HEAD BARTON ,266800,118300,110,MOLE
9034,MEETHE BARTON ,267500,123000,24,BRAY
9035,RIVER YEO (BARNSTAPLE) AT COLLARD BRIDGE,259600,135700,191,YEO
9036,THORVERTON ROAD BRIDGE ,293600,101600,70,EXE
9037,GWITHIAN TOWANS ,158500,42200,128,RED
9038,BEALSMILL ,235900,77100,84,INNY
9039,BEAM QUARRY ,247100,120900,164,TORRIDGE
9040,ROTHERN OLD BRIDGE ,247900,119700,164,TORRIDGE
9041,LODDISWELL NEW BRIDGE ,271900,47700,13,AVON
9042,RESTORMEL GAUGING STATION ,209700,62500,75,FOWEY
10001,LLANDDERFEL ,298200,336600,48,DEE
10002,OVERTON ,335400,342700,48,DEE
10003,IRON BRIDGE ,341800,360100,48,DEE
10004,GLAN ALWEN FORDS ,305800,342900,7,ALWEN
10005,PICKHILL BRIDGE ,339600,348200,36,CLYWEDOG
10006,ITHELS BRIDGE ,339000,356200,8,ALYN
10007,ST ASAPH ,304400,374800,34,CLWYD
